Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
TP53	tumor protein p53	4,928 / 16,405	142
MUC16	mucin 16, cell surface associated	2,887 / 16,405	201
KMT2D	lysine methyltransferase 2D	1,333 / 16,405	148
KDM6A	lysine demethylase 6A	472 / 16,405	105
ARID1A	AT-rich interaction domain 1A	1,151 / 16,405	117
PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	1,673 / 16,405	42
KMT2C	lysine methyltransferase 2C	1,059 / 16,405	99
RB1	RB transcriptional corepressor 1	560 / 16,405	77
FAT4	FAT atypical cadherin 4	1,440 / 16,405	95
CSMD3	CUB and Sushi multiple domains 3	1,984 / 16,405	77
STAG2	stromal antigen 2	396 / 16,405	60
EP300	E1A binding protein p300	566 / 16,405	73
FGFR3	fibroblast growth factor receptor 3	270 / 16,405	19
ELF3	E74 like ETS transcription factor 3	174 / 16,405	63
BIRC6	baculoviral IAP repeat containing 6	756 / 16,405	69
FAT3	FAT atypical cadherin 3	1,432 / 16,405	66
ATM	ATM serine/threonine kinase	757 / 16,405	61
LRP1B	LDL receptor related protein 1B	1,780 / 16,405	61
ERBB2	erb-b2 receptor tyrosine kinase 2	353 / 16,405	40
CREBBP	CREB binding protein	774 / 16,405	53
KMT2A	lysine methyltransferase 2A	685 / 16,405	63
RNF213	ring finger protein 213	756 / 16,405	54
FAT1	FAT atypical cadherin 1	1,065 / 16,405	58
AKAP9	A-kinase anchoring protein 9	657 / 16,405	61
ERBB3	erb-b2 receptor tyrosine kinase 3	380 / 16,405	45
MYH9	myosin heavy chain 9	483 / 16,405	46
CDKN1A	cyclin dependent kinase inhibitor 1A	110 / 16,405	40
ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	195 / 16,405	27
BRCA2	BRCA2 DNA repair associated	566 / 16,405	48
FBXW7	F-box and WD repeat domain containing 7	657 / 16,405	33
TRRAP	transformation/transcription domain associated protein	749 / 16,405	40
SPEN	spen family transcriptional repressor	628 / 16,405	46
ZFHX3	zinc finger homeobox 3	834 / 16,405	39
TSC1	TSC complex subunit 1	273 / 16,405	34
ASXL2	ASXL transcriptional regulator 2	343 / 16,405	37
NCOR1	nuclear receptor corepressor 1	538 / 16,405	42
