Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
TP53	tumor protein p53	4,928 / 16,405	231
CSMD3	CUB and Sushi multiple domains 3	1,984 / 16,405	41
MUC16	mucin 16, cell surface associated	2,887 / 16,405	39
NF1	neurofibromin 1	873 / 16,405	32
FAT3	FAT atypical cadherin 3	1,432 / 16,405	29
LRP1B	LDL receptor related protein 1B	1,780 / 16,405	23
CDK12	cyclin dependent kinase 12	371 / 16,405	20
KMT2C	lysine methyltransferase 2C	1,059 / 16,405	20
BRCA1	BRCA1 DNA repair associated	366 / 16,405	19
FAT1	FAT atypical cadherin 1	1,065 / 16,405	18
FAT4	FAT atypical cadherin 4	1,440 / 16,405	20
FAM135B	family with sequence similarity 135 member B	947 / 16,405	17
RB1	RB transcriptional corepressor 1	560 / 16,405	17
TRRAP	transformation/transcription domain associated protein	749 / 16,405	15
RNF213	ring finger protein 213	756 / 16,405	17
KMT2A	lysine methyltransferase 2A	685 / 16,405	14
ZFHX3	zinc finger homeobox 3	834 / 16,405	15
SPEN	spen family transcriptional repressor	628 / 16,405	14
CNTNAP2	contactin associated protein 2	812 / 16,405	13
AKAP9	A-kinase anchoring protein 9	657 / 16,405	13
CREBBP	CREB binding protein	774 / 16,405	12
FAM47C	family with sequence similarity 47 member C	631 / 16,405	12
BCORL1	BCL6 corepressor like 1	516 / 16,405	13
MYH11	myosin heavy chain 11	566 / 16,405	12
KDR	kinase insert domain receptor	501 / 16,405	12
ATRX	ATRX chromatin remodeler	813 / 16,405	13
CAMTA1	calmodulin binding transcription activator 1	481 / 16,405	12
CUX1	cut like homeobox 1	489 / 16,405	12
APC	APC regulator of WNT signaling pathway	1,079 / 16,405	13
DCC	DCC netrin 1 receptor	750 / 16,405	11
BIRC6	baculoviral IAP repeat containing 6	756 / 16,405	11
CHD4	chromodomain helicase DNA binding protein 4	552 / 16,405	11
CDH10	cadherin 10	736 / 16,405	11
ALK	ALK receptor tyrosine kinase	491 / 16,405	11
IRS4	insulin receptor substrate 4	456 / 16,405	9
PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	1,673 / 16,405	9
