Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
ATP2B3	ATPase plasma membrane Ca2+ transporting 3	427 / 16,405	8
POLE	DNA polymerase epsilon, catalytic subunit	492 / 16,405	8
CSF1R	colony stimulating factor 1 receptor	246 / 16,405	5
DNMT3A	DNA methyltransferase 3 alpha	336 / 16,405	4
ERBB2	erb-b2 receptor tyrosine kinase 2	353 / 16,405	5
ATRX	ATRX chromatin remodeler	813 / 16,405	4
CDH11	cadherin 11	492 / 16,405	4
KEAP1	kelch like ECH associated protein 1	374 / 16,405	4
ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	195 / 16,405	4
MTOR	mechanistic target of rapamycin kinase	515 / 16,405	6
CUL3	cullin 3	250 / 16,405	3
CLTCL1	clathrin heavy chain like 1	315 / 16,405	6
FLT4	fms related receptor tyrosine kinase 4	470 / 16,405	5
TP63	tumor protein p63	401 / 16,405	4
PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	698 / 16,405	4
BARD1	BRCA1 associated RING domain 1	193 / 16,405	4
BMP5	bone morphogenetic protein 5	261 / 16,405	4
LRIG3	leucine rich repeats and immunoglobulin like domains 3	246 / 16,405	4
RANBP2	RAN binding protein 2	533 / 16,405	5
RABEP1	rabaptin, RAB GTPase binding effector protein 1	148 / 16,405	3
PDGFRA	platelet derived growth factor receptor alpha	440 / 16,405	3
PATZ1	POZ/BTB and AT hook containing zinc finger 1	159 / 16,405	3
MSH6	mutS homolog 6	318 / 16,405	5
PBRM1	polybromo 1	579 / 16,405	4
ACVR2A	activin A receptor type 2A	375 / 16,405	4
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	260 / 16,405	4
RSPO2	R-spondin 2	138 / 16,405	4
ALK	ALK receptor tyrosine kinase	491 / 16,405	3
SETBP1	SET binding protein 1	532 / 16,405	4
PRF1	perforin 1	171 / 16,405	3
ASXL1	ASXL transcriptional regulator 1	403 / 16,405	4
RAD21	RAD21 cohesin complex component	197 / 16,405	3
EWSR1	EWS RNA binding protein 1	163 / 16,405	3
FGFR3	fibroblast growth factor receptor 3	270 / 16,405	3
CRTC1	CREB regulated transcription coactivator 1	158 / 16,405	3
ELN	elastin	238 / 16,405	3
MAP3K13	mitogen-activated protein kinase kinase kinase 13	250 / 16,405	3
COL3A1	collagen type III alpha 1 chain	583 / 16,405	3
LMNA	lamin A/C	156 / 16,405	4
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	158 / 16,405	4
CYP2C8	cytochrome P450 family 2 subfamily C member 8	176 / 16,405	3
DICER1	dicer 1, ribonuclease III	385 / 16,405	3
BRIP1	BRCA1 interacting protein C-terminal helicase 1	274 / 16,405	3
