Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
AR	androgen receptor	339 / 16,405	33
CTNNB1	catenin beta 1	547 / 16,405	30
RANBP2	RAN binding protein 2	533 / 16,405	37
COL3A1	collagen type III alpha 1 chain	583 / 16,405	34
MECOM	MDS1 and EVI1 complex locus	443 / 16,405	22
CNTRL	centriolin	351 / 16,405	33
CLIP1	CAP-Gly domain containing linker protein 1	266 / 16,405	28
ZNF521	zinc finger protein 521	536 / 16,405	37
NSD1	nuclear receptor binding SET domain protein 1	561 / 16,405	38
SETD2	SET domain containing 2, histone lysine methyltransferase	633 / 16,405	35
KDR	kinase insert domain receptor	501 / 16,405	40
COL1A1	collagen type I alpha 1 chain	383 / 16,405	31
CIC	capicua transcriptional repressor	462 / 16,405	31
PDGFRB	platelet derived growth factor receptor beta	264 / 16,405	30
NIN	ninein	384 / 16,405	31
PRDM16	PR/SET domain 16	377 / 16,405	36
BAZ1A	bromodomain adjacent to zinc finger domain 1A	270 / 16,405	28
PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	568 / 16,405	29
CIITA	class II major histocompatibility complex transactivator	319 / 16,405	29
BLM	BLM RecQ like helicase	261 / 16,405	20
PRDM2	PR/SET domain 2	333 / 16,405	32
MSH6	mutS homolog 6	318 / 16,405	32
PTPRD	protein tyrosine phosphatase receptor type D	766 / 16,405	35
GLI1	GLI family zinc finger 1	328 / 16,405	18
NUMA1	nuclear mitotic apparatus protein 1	358 / 16,405	33
STAG1	stromal antigen 1	297 / 16,405	30
RET	ret proto-oncogene	365 / 16,405	29
KIT	KIT proto-oncogene, receptor tyrosine kinase	336 / 16,405	30
COL2A1	collagen type II alpha 1 chain	404 / 16,405	26
ATR	ATR serine/threonine kinase	495 / 16,405	33
B2M	beta-2-microglobulin	178 / 16,405	25
GRM3	glutamate metabotropic receptor 3	528 / 16,405	28
ZMYM2	zinc finger MYM-type containing 2	287 / 16,405	22
LIFR	LIF receptor subunit alpha	330 / 16,405	35
PCM1	pericentriolar material 1	230 / 16,405	28
SPECC1	sperm antigen with calponin homology and coiled-coil domains 1	284 / 16,405	22
SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	298 / 16,405	26
CHD2	chromodomain helicase DNA binding protein 2	354 / 16,405	27
RUNX1T1	RUNX1 partner transcriptional co-repressor 1	513 / 16,405	27
MAP2K4	mitogen-activated protein kinase kinase 4	214 / 16,405	25
TPR	translocated promoter region, nuclear basket protein	463 / 16,405	30
NOTCH2	notch receptor 2	430 / 16,405	26
FGFR3	fibroblast growth factor receptor 3	270 / 16,405	28
AFDN	afadin, adherens junction formation factor	416 / 16,405	31
PAX3	paired box 3	232 / 16,405	19
NCOA2	nuclear receptor coactivator 2	304 / 16,405	27
KNL1	kinetochore scaffold 1	332 / 16,405	36
