Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
A1CF	APOBEC1 complementation factor	259 / 16,405	11
MACC1	MET transcriptional regulator MACC1	234 / 16,405	10
CDH17	cadherin 17	264 / 16,405	12
TPR	translocated promoter region, nuclear basket protein	463 / 16,405	16
BMP5	bone morphogenetic protein 5	261 / 16,405	13
LRIG3	leucine rich repeats and immunoglobulin like domains 3	246 / 16,405	13
RANBP2	RAN binding protein 2	533 / 16,405	11
ZNF521	zinc finger protein 521	536 / 16,405	13
SETBP1	SET binding protein 1	532 / 16,405	11
PTPN13	protein tyrosine phosphatase non-receptor type 13	444 / 16,405	13
ZMYM2	zinc finger MYM-type containing 2	287 / 16,405	13
NUTM1	NUT midline carcinoma family member 1	309 / 16,405	13
COL3A1	collagen type III alpha 1 chain	583 / 16,405	9
AFDN	afadin, adherens junction formation factor	416 / 16,405	12
SF3B1	splicing factor 3b subunit 1	366 / 16,405	11
GLI1	GLI family zinc finger 1	328 / 16,405	11
BCORL1	BCL6 corepressor like 1	516 / 16,405	13
IRF4	interferon regulatory factor 4	207 / 16,405	9
NUMA1	nuclear mitotic apparatus protein 1	358 / 16,405	13
ATP2B3	ATPase plasma membrane Ca2+ transporting 3	427 / 16,405	12
LATS2	large tumor suppressor kinase 2	258 / 16,405	11
MET	MET proto-oncogene, receptor tyrosine kinase	349 / 16,405	17
ATM	ATM serine/threonine kinase	757 / 16,405	18
CLIP1	CAP-Gly domain containing linker protein 1	266 / 16,405	14
CAMTA1	calmodulin binding transcription activator 1	481 / 16,405	16
FAM135B	family with sequence similarity 135 member B	947 / 16,405	11
TSC1	TSC complex subunit 1	273 / 16,405	9
DDR2	discoidin domain receptor tyrosine kinase 2	267 / 16,405	10
RPL5	ribosomal protein L5	158 / 16,405	8
DICER1	dicer 1, ribonuclease III	385 / 16,405	15
CTNND2	catenin delta 2	677 / 16,405	9
ERBB4	erb-b2 receptor tyrosine kinase 4	672 / 16,405	9
CDKN2C	cyclin dependent kinase inhibitor 2C	56 / 16,405	8
PTCH1	patched 1	386 / 16,405	10
P2RY8	P2Y receptor family member 8	227 / 16,405	9
EPHA7	EPH receptor A7	419 / 16,405	10
BIRC6	baculoviral IAP repeat containing 6	756 / 16,405	21
CHD4	chromodomain helicase DNA binding protein 4	552 / 16,405	10
PAX3	paired box 3	232 / 16,405	9
CDKN2A	cyclin dependent kinase inhibitor 2A	576 / 16,405	8
N4BP2	NEDD4 binding protein 2	304 / 16,405	9
GATA3	GATA binding protein 3	386 / 16,405	11
POLE	DNA polymerase epsilon, catalytic subunit	492 / 16,405	24
BRCA1	BRCA1 DNA repair associated	366 / 16,405	12
RUNX1T1	RUNX1 partner transcriptional co-repressor 1	513 / 16,405	9
COL1A1	collagen type I alpha 1 chain	383 / 16,405	13
FOXA1	forkhead box A1	207 / 16,405	8
TET1	tet methylcytosine dioxygenase 1	452 / 16,405	10
SPEN	spen family transcriptional repressor	628 / 16,405	17
CIITA	class II major histocompatibility complex transactivator	319 / 16,405	11
FBXW7	F-box and WD repeat domain containing 7	657 / 16,405	8
TCF7L2	transcription factor 7 like 2	300 / 16,405	10
PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D	152 / 16,405	10
QKI	QKI, KH domain containing RNA binding	188 / 16,405	9
CBLB	Cbl proto-oncogene B	270 / 16,405	9
KNL1	kinetochore scaffold 1	332 / 16,405	10
CTNNA2	catenin alpha 2	665 / 16,405	8
NSD3	nuclear receptor binding SET domain protein 3	296 / 16,405	15
KIAA1549	KIAA1549	468 / 16,405	15
STAT5B	signal transducer and activator of transcription 5B	206 / 16,405	5
SUFU	SUFU negative regulator of hedgehog signaling	126 / 16,405	9
PDE4DIP	phosphodiesterase 4D interacting protein	434 / 16,405	16
CUX1	cut like homeobox 1	489 / 16,405	11
CYLD	CYLD lysine 63 deubiquitinase	241 / 16,405	10
NRG1	neuregulin 1	448 / 16,405	11
