Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
MUC16	mucin 16, cell surface associated	2,887 / 16,405	1,703
BRAF	B-Raf proto-oncogene, serine/threonine kinase	963 / 16,405	37
LRP1B	LDL receptor related protein 1B	1,780 / 16,405	413
FAT4	FAT atypical cadherin 4	1,440 / 16,405	352
CSMD3	CUB and Sushi multiple domains 3	1,984 / 16,405	288
FAT3	FAT atypical cadherin 3	1,432 / 16,405	304
PTPRT	protein tyrosine phosphatase receptor type T	812 / 16,405	218
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	772 / 16,405	218
FAM135B	family with sequence similarity 135 member B	947 / 16,405	199
NRAS	NRAS proto-oncogene, GTPase	837 / 16,405	16
DCC	DCC netrin 1 receptor	750 / 16,405	164
CNTNAP2	contactin associated protein 2	812 / 16,405	149
PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	698 / 16,405	166
PTPRB	protein tyrosine phosphatase receptor type B	630 / 16,405	161
MECOM	MDS1 and EVI1 complex locus	443 / 16,405	113
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	611 / 16,405	141
PTPRD	protein tyrosine phosphatase receptor type D	766 / 16,405	143
COL3A1	collagen type III alpha 1 chain	583 / 16,405	136
ANK1	ankyrin 1	700 / 16,405	131
ERBB4	erb-b2 receptor tyrosine kinase 4	672 / 16,405	115
TP63	tumor protein p63	401 / 16,405	102
GRM3	glutamate metabotropic receptor 3	528 / 16,405	118
FAM47C	family with sequence similarity 47 member C	631 / 16,405	107
TRRAP	transformation/transcription domain associated protein	749 / 16,405	108
KMT2D	lysine methyltransferase 2D	1,333 / 16,405	126
CTNND2	catenin delta 2	677 / 16,405	108
PTPRK	protein tyrosine phosphatase receptor type K	419 / 16,405	100
NBEA	neurobeachin	699 / 16,405	110
MUC4	mucin 4, cell surface associated	630 / 16,405	98
KDR	kinase insert domain receptor	501 / 16,405	90
NF1	neurofibromin 1	873 / 16,405	98
ZFHX3	zinc finger homeobox 3	834 / 16,405	91
ROBO2	roundabout guidance receptor 2	668 / 16,405	87
EPHA7	EPH receptor A7	419 / 16,405	103
CDH10	cadherin 10	736 / 16,405	78
TP53	tumor protein p53	4,928 / 16,405	57
ARID2	AT-rich interaction domain 2	527 / 16,405	75
IL7R	interleukin 7 receptor	326 / 16,405	74
MYH11	myosin heavy chain 11	566 / 16,405	92
KMT2C	lysine methyltransferase 2C	1,059 / 16,405	86
COL2A1	collagen type II alpha 1 chain	404 / 16,405	81
NACA	nascent polypeptide associated complex subunit alpha	341 / 16,405	83
RGS7	regulator of G protein signaling 7	350 / 16,405	55
SETBP1	SET binding protein 1	532 / 16,405	77
KMT2A	lysine methyltransferase 2A	685 / 16,405	71
PTPRC	protein tyrosine phosphatase receptor type C	485 / 16,405	78
ALK	ALK receptor tyrosine kinase	491 / 16,405	83
FAT1	FAT atypical cadherin 1	1,065 / 16,405	83
CARD11	caspase recruitment domain family member 11	482 / 16,405	85
CACNA1D	calcium voltage-gated channel subunit alpha1 D	508 / 16,405	83
USP6	ubiquitin specific peptidase 6	345 / 16,405	71
RUNX1T1	RUNX1 partner transcriptional co-repressor 1	513 / 16,405	61
KIAA1549	KIAA1549	468 / 16,405	82
LIFR	LIF receptor subunit alpha	330 / 16,405	75
TNC	tenascin C	528 / 16,405	81
SPEN	spen family transcriptional repressor	628 / 16,405	72
CTNNA2	catenin alpha 2	665 / 16,405	65
EPHA3	EPH receptor A3	523 / 16,405	62
SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	298 / 16,405	68
A1CF	APOBEC1 complementation factor	259 / 16,405	64
CDKN2A	cyclin dependent kinase inhibitor 2A	576 / 16,405	33
COL1A1	collagen type I alpha 1 chain	383 / 16,405	70
AKAP9	A-kinase anchoring protein 9	657 / 16,405	66
GPC5	glypican 5	337 / 16,405	57
RNF213	ring finger protein 213	756 / 16,405	74
PRKCB	protein kinase C beta	344 / 16,405	56
NTRK3	neurotrophic receptor tyrosine kinase 3	504 / 16,405	71
BCL11A	BAF chromatin remodeling complex subunit BCL11A	383 / 16,405	64
CYP2C8	cytochrome P450 family 2 subfamily C member 8	176 / 16,405	56
FLT3	fms related receptor tyrosine kinase 3	440 / 16,405	55
MET	MET proto-oncogene, receptor tyrosine kinase	349 / 16,405	60
EGFR	epidermal growth factor receptor	645 / 16,405	69
BIRC6	baculoviral IAP repeat containing 6	756 / 16,405	64
ZEB1	zinc finger E-box binding homeobox 1	390 / 16,405	66
FLT4	fms related receptor tyrosine kinase 4	470 / 16,405	71
BMP5	bone morphogenetic protein 5	261 / 16,405	54
NCOR2	nuclear receptor corepressor 2	514 / 16,405	59
VAV1	vav guanine nucleotide exchange factor 1	277 / 16,405	52
WNK2	WNK lysine deficient protein kinase 2	461 / 16,405	60
RANBP2	RAN binding protein 2	533 / 16,405	56
PDGFRA	platelet derived growth factor receptor alpha	440 / 16,405	52
PRDM16	PR/SET domain 16	377 / 16,405	71
