Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
TSC1	TSC complex subunit 1	273 / 16,405	8
DICER1	dicer 1, ribonuclease III	385 / 16,405	9
BCL11B	BAF chromatin remodeling complex subunit BCL11B	350 / 16,405	9
NSD2	nuclear receptor binding SET domain protein 2	387 / 16,405	8
EPHA7	EPH receptor A7	419 / 16,405	8
CHD4	chromodomain helicase DNA binding protein 4	552 / 16,405	8
PRDM16	PR/SET domain 16	377 / 16,405	9
STAG2	stromal antigen 2	396 / 16,405	8
RUNX1T1	RUNX1 partner transcriptional co-repressor 1	513 / 16,405	10
TET1	tet methylcytosine dioxygenase 1	452 / 16,405	8
UBR5	ubiquitin protein ligase E3 component n-recognin 5	559 / 16,405	8
FANCD2	FA complementation group D2	272 / 16,405	8
NSD3	nuclear receptor binding SET domain protein 3	296 / 16,405	10
ERC1	ELKS/RAB6-interacting/CAST family member 1	228 / 16,405	8
GRM3	glutamate metabotropic receptor 3	528 / 16,405	8
CACNA1D	calcium voltage-gated channel subunit alpha1 D	508 / 16,405	8
PRDM2	PR/SET domain 2	333 / 16,405	8
CREBBP	CREB binding protein	774 / 16,405	7
POLD1	DNA polymerase delta 1, catalytic subunit	251 / 16,405	7
ELF3	E74 like ETS transcription factor 3	174 / 16,405	7
MED12	mediator complex subunit 12	556 / 16,405	7
ASXL1	ASXL transcriptional regulator 1	403 / 16,405	7
ARHGEF12	Rho guanine nucleotide exchange factor 12	305 / 16,405	7
NTRK1	neurotrophic receptor tyrosine kinase 1	258 / 16,405	7
SPECC1	sperm antigen with calponin homology and coiled-coil domains 1	284 / 16,405	7
SLC34A2	solute carrier family 34 member 2	255 / 16,405	7
NIN	ninein	384 / 16,405	8
PTCH1	patched 1	386 / 16,405	7
BCL11A	BAF chromatin remodeling complex subunit BCL11A	383 / 16,405	7
NUMA1	nuclear mitotic apparatus protein 1	358 / 16,405	7
PLCG1	phospholipase C gamma 1	253 / 16,405	7
EBF1	EBF transcription factor 1	267 / 16,405	7
NCOA2	nuclear receptor coactivator 2	304 / 16,405	7
