Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
TP53	tumor protein p53	4,928 / 16,405	89
CTNNB1	catenin beta 1	547 / 16,405	37
MUC16	mucin 16, cell surface associated	2,887 / 16,405	98
CSMD3	CUB and Sushi multiple domains 3	1,984 / 16,405	46
LRP1B	LDL receptor related protein 1B	1,780 / 16,405	44
ARID1A	AT-rich interaction domain 1A	1,151 / 16,405	39
BAP1	BRCA1 associated protein 1	332 / 16,405	31
FAT3	FAT atypical cadherin 3	1,432 / 16,405	30
AXIN1	axin 1	243 / 16,405	29
KMT2D	lysine methyltransferase 2D	1,333 / 16,405	27
NBEA	neurobeachin	699 / 16,405	26
BIRC6	baculoviral IAP repeat containing 6	756 / 16,405	25
ARID2	AT-rich interaction domain 2	527 / 16,405	25
PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	698 / 16,405	22
RB1	RB transcriptional corepressor 1	560 / 16,405	22
FAT4	FAT atypical cadherin 4	1,440 / 16,405	25
POLQ	DNA polymerase theta	528 / 16,405	21
KMT2C	lysine methyltransferase 2C	1,059 / 16,405	19
PBRM1	polybromo 1	579 / 16,405	16
PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	1,673 / 16,405	11
KEAP1	kelch like ECH associated protein 1	374 / 16,405	19
KMT2A	lysine methyltransferase 2A	685 / 16,405	16
ANK1	ankyrin 1	700 / 16,405	16
APC	APC regulator of WNT signaling pathway	1,079 / 16,405	17
PTPRB	protein tyrosine phosphatase receptor type B	630 / 16,405	18
CTNNA2	catenin alpha 2	665 / 16,405	17
NTRK3	neurotrophic receptor tyrosine kinase 3	504 / 16,405	16
ACVR2A	activin A receptor type 2A	375 / 16,405	16
FAT1	FAT atypical cadherin 1	1,065 / 16,405	18
SETD2	SET domain containing 2, histone lysine methyltransferase	633 / 16,405	15
ATR	ATR serine/threonine kinase	495 / 16,405	17
MUC4	mucin 4, cell surface associated	630 / 16,405	14
NF1	neurofibromin 1	873 / 16,405	14
WNK2	WNK lysine deficient protein kinase 2	461 / 16,405	16
ATM	ATM serine/threonine kinase	757 / 16,405	14
ROBO2	roundabout guidance receptor 2	668 / 16,405	15
IDH1	isocitrate dehydrogenase (NADP(+)) 1	595 / 16,405	8
PTPN13	protein tyrosine phosphatase non-receptor type 13	444 / 16,405	13
NCOR2	nuclear receptor corepressor 2	514 / 16,405	13
DCC	DCC netrin 1 receptor	750 / 16,405	13
ARID1B	AT-rich interaction domain 1B	477 / 16,405	13
KIT	KIT proto-oncogene, receptor tyrosine kinase	336 / 16,405	13
ZFHX3	zinc finger homeobox 3	834 / 16,405	13
RNF213	ring finger protein 213	756 / 16,405	14
PTPRT	protein tyrosine phosphatase receptor type T	812 / 16,405	13
EPHA3	EPH receptor A3	523 / 16,405	14
TSC2	TSC complex subunit 2	387 / 16,405	12
SF3B1	splicing factor 3b subunit 1	366 / 16,405	12
CDKN2A	cyclin dependent kinase inhibitor 2A	576 / 16,405	11
FGFR2	fibroblast growth factor receptor 2	375 / 16,405	12
SPEN	spen family transcriptional repressor	628 / 16,405	13
IL6ST	interleukin 6 signal transducer	186 / 16,405	12
CAMTA1	calmodulin binding transcription activator 1	481 / 16,405	12
FLT4	fms related receptor tyrosine kinase 4	470 / 16,405	12
ZNF521	zinc finger protein 521	536 / 16,405	13
PDE4DIP	phosphodiesterase 4D interacting protein	434 / 16,405	11
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	772 / 16,405	11
GPHN	gephyrin	213 / 16,405	11
ERBB4	erb-b2 receptor tyrosine kinase 4	672 / 16,405	11
TRRAP	transformation/transcription domain associated protein	749 / 16,405	11
RECQL4	RecQ like helicase 4	200 / 16,405	11
