Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
VHL	von Hippel-Lindau tumor suppressor	394 / 16,405	148
PBRM1	polybromo 1	579 / 16,405	167
MUC16	mucin 16, cell surface associated	2,887 / 16,405	76
SETD2	SET domain containing 2, histone lysine methyltransferase	633 / 16,405	65
BAP1	BRCA1 associated protein 1	332 / 16,405	53
KMT2C	lysine methyltransferase 2C	1,059 / 16,405	40
TP53	tumor protein p53	4,928 / 16,405	36
MTOR	mechanistic target of rapamycin kinase	515 / 16,405	35
KMT2D	lysine methyltransferase 2D	1,333 / 16,405	33
FAT1	FAT atypical cadherin 1	1,065 / 16,405	30
PTEN	phosphatase and tensin homolog	1,230 / 16,405	27
ARID1A	AT-rich interaction domain 1A	1,151 / 16,405	26
CSMD3	CUB and Sushi multiple domains 3	1,984 / 16,405	27
MET	MET proto-oncogene, receptor tyrosine kinase	349 / 16,405	17
BIRC6	baculoviral IAP repeat containing 6	756 / 16,405	25
SPEN	spen family transcriptional repressor	628 / 16,405	27
KDM5C	lysine demethylase 5C	385 / 16,405	25
ATM	ATM serine/threonine kinase	757 / 16,405	27
LRP1B	LDL receptor related protein 1B	1,780 / 16,405	23
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	580 / 16,405	22
EP300	E1A binding protein p300	566 / 16,405	19
FAT4	FAT atypical cadherin 4	1,440 / 16,405	19
STAG2	stromal antigen 2	396 / 16,405	18
NSD1	nuclear receptor binding SET domain protein 1	561 / 16,405	17
BRCA2	BRCA2 DNA repair associated	566 / 16,405	17
CUL3	cullin 3	250 / 16,405	18
RANBP2	RAN binding protein 2	533 / 16,405	17
TSC2	TSC complex subunit 2	387 / 16,405	17
NF2	neurofibromin 2	197 / 16,405	16
NCOR1	nuclear receptor corepressor 1	538 / 16,405	16
FAT3	FAT atypical cadherin 3	1,432 / 16,405	17
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	611 / 16,405	16
AFDN	afadin, adherens junction formation factor	416 / 16,405	15
ERBB4	erb-b2 receptor tyrosine kinase 4	672 / 16,405	15
CLTC	clathrin heavy chain	301 / 16,405	14
ZFHX3	zinc finger homeobox 3	834 / 16,405	15
AKAP9	A-kinase anchoring protein 9	657 / 16,405	15
CREBBP	CREB binding protein	774 / 16,405	13
KMT2A	lysine methyltransferase 2A	685 / 16,405	13
NF1	neurofibromin 1	873 / 16,405	15
KDM6A	lysine demethylase 6A	472 / 16,405	15
RNF213	ring finger protein 213	756 / 16,405	13
KAT6A	lysine acetyltransferase 6A	415 / 16,405	13
CUX1	cut like homeobox 1	489 / 16,405	13
TSC1	TSC complex subunit 1	273 / 16,405	12
CHD4	chromodomain helicase DNA binding protein 4	552 / 16,405	12
PTPRB	protein tyrosine phosphatase receptor type B	630 / 16,405	14
TET1	tet methylcytosine dioxygenase 1	452 / 16,405	12
KNL1	kinetochore scaffold 1	332 / 16,405	12
CACNA1D	calcium voltage-gated channel subunit alpha1 D	508 / 16,405	13
NOTCH2	notch receptor 2	430 / 16,405	12
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	772 / 16,405	11
NBEA	neurobeachin	699 / 16,405	11
TNC	tenascin C	528 / 16,405	11
BCORL1	BCL6 corepressor like 1	516 / 16,405	11
DDX5	DEAD-box helicase 5	162 / 16,405	10
DNMT3A	DNA methyltransferase 3 alpha	336 / 16,405	11
UBR5	ubiquitin protein ligase E3 component n-recognin 5	559 / 16,405	11
PTPRT	protein tyrosine phosphatase receptor type T	812 / 16,405	12
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	260 / 16,405	10
HSP90AA1	heat shock protein 90 alpha family class A member 1	188 / 16,405	10
SF3B1	splicing factor 3b subunit 1	366 / 16,405	10
APC	APC regulator of WNT signaling pathway	1,079 / 16,405	10
POLE	DNA polymerase epsilon, catalytic subunit	492 / 16,405	10
ERBB2	erb-b2 receptor tyrosine kinase 2	353 / 16,405	10
ATRX	ATRX chromatin remodeler	813 / 16,405	10
BCL9L	BCL9 like	347 / 16,405	10
NFE2L2	nuclear factor, erythroid 2 like 2	331 / 16,405	9
ATR	ATR serine/threonine kinase	495 / 16,405	10
TPR	translocated promoter region, nuclear basket protein	463 / 16,405	10
LRIG3	leucine rich repeats and immunoglobulin like domains 3	246 / 16,405	10
ZNF521	zinc finger protein 521	536 / 16,405	10
CDK12	cyclin dependent kinase 12	371 / 16,405	9
PTPRD	protein tyrosine phosphatase receptor type D	766 / 16,405	9
DCC	DCC netrin 1 receptor	750 / 16,405	9
MUC4	mucin 4, cell surface associated	630 / 16,405	9
SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	149 / 16,405	9
STAG1	stromal antigen 1	297 / 16,405	9
ARID2	AT-rich interaction domain 2	527 / 16,405	9
NACA	nascent polypeptide associated complex subunit alpha	341 / 16,405	9
FLT4	fms related receptor tyrosine kinase 4	470 / 16,405	9
NUP214	nucleoporin 214	360 / 16,405	9
POLD1	DNA polymerase delta 1, catalytic subunit	251 / 16,405	8
ALK	ALK receptor tyrosine kinase	491 / 16,405	8
SETBP1	SET binding protein 1	532 / 16,405	8
PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	1,673 / 16,405	7
FGFR3	fibroblast growth factor receptor 3	270 / 16,405	9
PTPN13	protein tyrosine phosphatase non-receptor type 13	444 / 16,405	8
ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	194 / 16,405	8
GPHN	gephyrin	213 / 16,405	8
TRIP11	thyroid hormone receptor interactor 11	315 / 16,405	9
NIN	ninein	384 / 16,405	8
ARID1B	AT-rich interaction domain 1B	477 / 16,405	8
ARHGAP26	Rho GTPase activating protein 26	204 / 16,405	8
MYH11	myosin heavy chain 11	566 / 16,405	8
NUMA1	nuclear mitotic apparatus protein 1	358 / 16,405	8
NCOA2	nuclear receptor coactivator 2	304 / 16,405	8
PALB2	partner and localizer of BRCA2	233 / 16,405	8
SNX29	sorting nexin 29	219 / 16,405	8
AFF3	AF4/FMR2 family member 3	440 / 16,405	8
Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
POLQ	DNA polymerase theta	528 / 16,405	8
HIF1A	hypoxia inducible factor 1 subunit alpha	177 / 16,405	8
SGK1	serum/glucocorticoid regulated kinase 1	213 / 16,405	8
TET2	tet methylcytosine dioxygenase 2	334 / 16,405	8
TP63	tumor protein p63	401 / 16,405	8
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	299 / 16,405	8
TERT	telomerase reverse transcriptase	254 / 16,405	9
NTRK3	neurotrophic receptor tyrosine kinase 3	504 / 16,405	8
PTPRC	protein tyrosine phosphatase receptor type C	485 / 16,405	9
NOTCH1	notch receptor 1	806 / 16,405	8
KIAA1549	KIAA1549	468 / 16,405	8
GRM3	glutamate metabotropic receptor 3	528 / 16,405	8
MYO5A	myosin VA	364 / 16,405	8
ROBO2	roundabout guidance receptor 2	668 / 16,405	8
ARHGAP5	Rho GTPase activating protein 5	360 / 16,405	8
PDE4DIP	phosphodiesterase 4D interacting protein	434 / 16,405	7
ACVR2A	activin A receptor type 2A	375 / 16,405	7
DAXX	death domain associated protein	179 / 16,405	7
FBXO11	F-box protein 11	172 / 16,405	7
NCOA4	nuclear receptor coactivator 4	117 / 16,405	7
MED12	mediator complex subunit 12	556 / 16,405	7
NCOA1	nuclear receptor coactivator 1	286 / 16,405	7
ZMYM2	zinc finger MYM-type containing 2	287 / 16,405	7
ANK1	ankyrin 1	700 / 16,405	7
MRTFA	myocardin related transcription factor A	203 / 16,405	8
NCOR2	nuclear receptor corepressor 2	514 / 16,405	7
CSF3R	colony stimulating factor 3 receptor	242 / 16,405	7
KRAS	KRAS proto-oncogene, GTPase	1,762 / 16,405	4
FBLN2	fibulin 2	281 / 16,405	7
KDR	kinase insert domain receptor	501 / 16,405	7
VAV1	vav guanine nucleotide exchange factor 1	277 / 16,405	7
BRCA1	BRCA1 DNA repair associated	366 / 16,405	8
IL6ST	interleukin 6 signal transducer	186 / 16,405	7
SALL4	spalt like transcription factor 4	373 / 16,405	7
AFF1	AF4/FMR2 family member 1	271 / 16,405	7
COL2A1	collagen type II alpha 1 chain	404 / 16,405	7
DROSHA	drosha ribonuclease III	280 / 16,405	7
CNTRL	centriolin	351 / 16,405	7
ASXL2	ASXL transcriptional regulator 2	343 / 16,405	7
CARD11	caspase recruitment domain family member 11	482 / 16,405	7
NSD3	nuclear receptor binding SET domain protein 3	296 / 16,405	7
NUP98	nucleoporin 98 and 96 precursor	327 / 16,405	8
MAP3K1	mitogen-activated protein kinase kinase kinase 1	384 / 16,405	7
KAT6B	lysine acetyltransferase 6B	348 / 16,405	6
